client_id,LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,dataset_source
UCI_003804,80000.0,59,3,1,1,2,0,0,-1,-1,21723.0,21097.0,22140.0,18349.0,3540.0,0.0,0.0,2000.0,0.0,3540.0,0.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_023326,157662.0,38,4,1,-2,0,2,3,2,2,84300.0,67700.0,42800.0,41300.0,99800.0,69500.0,25400.0,4400.0,27900.0,2800.0,52900.0,45600.0,0,SYNTHETIC_CREDIT_RISK
UCI_014301,700000.0,36,1,1,0,0,0,0,0,0,450827.0,389039.0,328316.0,325968.0,271596.0,286805.0,13000.0,11939.0,10312.0,20004.0,20000.0,20000.0,0,UCI_CREDIT_CARD
SYN_CLI_021302,365168.0,63,2,2,-2,-1,2,-2,4,-2,225200.0,178000.0,78300.0,165100.0,120300.0,85800.0,60500.0,32900.0,17800.0,69000.0,72600.0,59000.0,1,SYNTHETIC_CREDIT_RISK
UCI_009009,560000.0,32,2,1,1,-2,-2,-1,-1,-2,19924.0,16297.0,4593.0,2512.0,11461.0,3402.0,1163.0,1023.0,2519.0,46518.0,3421.0,11467.0,0,UCI_CREDIT_CARD
SYN_CLI_017522,301814.0,51,3,2,-1,2,1,-1,-2,-2,23400.0,109000.0,131800.0,36900.0,146200.0,37600.0,16100.0,52000.0,90300.0,3300.0,12100.0,18800.0,1,SYNTHETIC_CREDIT_RISK
UCI_025225,200000.0,24,2,2,0,0,0,0,0,0,52143.0,53186.0,55929.0,194441.0,146190.0,141550.0,1910.0,3600.0,141000.0,5100.0,5200.0,5100.0,0,UCI_CREDIT_CARD
SYN_CLI_018922,439847.0,57,1,3,4,4,-1,2,2,-1,203900.0,150800.0,64600.0,43000.0,304100.0,133000.0,132100.0,900.0,38200.0,7300.0,33100.0,71400.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_007979,240770.0,69,4,3,1,4,-1,0,2,4,35400.0,59100.0,189600.0,37400.0,112000.0,89700.0,5400.0,34700.0,87600.0,20900.0,58900.0,20400.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_014172,380807.0,46,2,2,4,0,-1,-2,-2,2,64000.0,147300.0,143800.0,182500.0,41700.0,157600.0,31000.0,84500.0,46000.0,8100.0,8700.0,27000.0,1,SYNTHETIC_CREDIT_RISK
UCI_026304,160000.0,42,2,1,2,2,-2,-2,-2,-2,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_019459,380000.0,44,2,1,0,0,0,0,0,0,268755.0,270405.0,258979.0,261213.0,264550.0,163860.0,11035.0,10009.0,11003.0,10500.0,7500.0,7505.0,0,UCI_CREDIT_CARD
UCI_005370,390000.0,44,2,1,0,0,0,0,0,0,169658.0,173758.0,177722.0,180132.0,184420.0,188329.0,8000.0,8000.0,6500.0,7000.0,7200.0,5500.0,0,UCI_CREDIT_CARD
SYN_CLI_020292,461208.0,43,2,3,3,2,-2,0,1,4,110300.0,190200.0,168000.0,166400.0,33500.0,187700.0,4700.0,74800.0,55100.0,1900.0,1100.0,69300.0,1,SYNTHETIC_CREDIT_RISK
UCI_025952,90000.0,48,2,1,0,0,0,0,0,0,43810.0,44504.0,46174.0,47193.0,48105.0,49327.0,1723.0,2393.0,2090.0,2000.0,2000.0,1803.0,0,UCI_CREDIT_CARD
SYN_CLI_024909,359091.0,22,2,1,-1,3,3,0,3,4,139400.0,176100.0,131400.0,77300.0,25600.0,224700.0,69300.0,86900.0,33300.0,7300.0,17600.0,81800.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_026363,88308.0,48,3,3,3,-1,0,-1,2,0,27800.0,66900.0,27500.0,52600.0,19900.0,30100.0,9900.0,9500.0,13400.0,22200.0,3000.0,5400.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_002219,150372.0,61,2,3,0,-1,1,-2,3,-1,85500.0,68700.0,59600.0,106400.0,91000.0,37500.0,26000.0,4400.0,1900.0,8000.0,42700.0,18200.0,0,SYNTHETIC_CREDIT_RISK
UCI_002886,230000.0,37,3,1,0,0,0,0,0,0,228342.0,189966.0,142377.0,143828.0,143698.0,143342.0,6100.0,7000.0,5356.0,5400.0,5200.0,5500.0,0,UCI_CREDIT_CARD
SYN_CLI_006560,61576.0,35,3,2,0,1,1,2,-1,-2,13300.0,27300.0,22700.0,24500.0,45000.0,21500.0,4000.0,16500.0,5400.0,9900.0,30100.0,10500.0,1,SYNTHETIC_CREDIT_RISK
UCI_008967,40000.0,23,3,2,2,2,2,0,0,0,34415.0,35170.0,34305.0,34985.0,35719.0,36428.0,1600.0,0.0,1250.0,1296.0,1302.0,1348.0,1,UCI_CREDIT_CARD
SYN_CLI_016575,200650.0,23,2,3,0,2,1,-1,-2,-1,102600.0,85200.0,82800.0,75000.0,42000.0,39900.0,59900.0,4100.0,52300.0,25000.0,9000.0,13400.0,1,SYNTHETIC_CREDIT_RISK
UCI_010531,180000.0,36,2,1,-1,-1,-1,-2,-2,-2,787.0,398.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_014629,167517.0,23,2,3,-2,1,0,3,4,3,15200.0,104600.0,75600.0,115200.0,87500.0,17000.0,2800.0,43900.0,10500.0,52000.0,36300.0,11900.0,1,SYNTHETIC_CREDIT_RISK
UCI_000274,200000.0,33,2,2,0,0,0,0,0,0,11253.0,12852.0,14024.0,14512.0,16325.0,11905.0,2000.0,1322.0,2000.0,2000.0,1200.0,3000.0,0,UCI_CREDIT_CARD
UCI_019270,80000.0,39,3,1,-1,-1,-1,0,-1,-1,2921.0,390.0,6837.0,7309.0,2568.0,2199.0,780.0,6837.0,1000.0,2568.0,2199.0,4067.0,1,UCI_CREDIT_CARD
SYN_CLI_006912,393319.0,72,3,1,2,-1,3,0,4,-1,253700.0,231200.0,135300.0,25800.0,313000.0,32700.0,145300.0,106000.0,57200.0,15700.0,49700.0,6900.0,1,SYNTHETIC_CREDIT_RISK
UCI_010122,80000.0,26,2,2,0,0,0,2,0,0,77037.0,71799.0,75743.0,67626.0,69081.0,70772.0,3300.0,5800.0,0.0,2700.0,3000.0,2700.0,0,UCI_CREDIT_CARD
UCI_013291,20000.0,41,3,1,0,0,0,2,2,2,7478.0,8497.0,10162.0,9852.0,10418.0,10102.0,1146.0,1811.0,0.0,876.0,0.0,374.0,0,UCI_CREDIT_CARD
SYN_CLI_027607,22742.0,46,3,3,0,3,2,-1,4,0,9500.0,2700.0,6500.0,14600.0,7500.0,11400.0,6600.0,300.0,4100.0,600.0,3500.0,7400.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_017190,47724.0,65,2,3,2,-1,2,4,1,0,37400.0,10600.0,10800.0,22400.0,14800.0,17700.0,8000.0,5400.0,2000.0,13100.0,3000.0,11900.0,1,SYNTHETIC_CREDIT_RISK
UCI_029210,20000.0,23,2,2,0,-1,-1,-1,0,0,6321.0,4813.0,595.0,18628.0,19324.0,19208.0,6000.0,597.0,21722.0,1000.0,697.0,860.0,0,UCI_CREDIT_CARD
SYN_CLI_012188,307416.0,61,4,1,3,-2,-1,-1,3,0,35300.0,125500.0,82700.0,61200.0,88700.0,174900.0,2200.0,45300.0,5900.0,22500.0,47600.0,13700.0,1,SYNTHETIC_CREDIT_RISK
UCI_025387,30000.0,28,1,2,0,-1,-1,-1,-2,-2,13568.0,3166.0,821.0,0.0,0.0,0.0,3166.0,821.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_017006,150000.0,24,1,2,1,-1,-1,-1,-1,2,-200.0,200.0,200.0,200.0,550.0,550.0,600.0,200.0,200.0,550.0,200.0,0.0,0,UCI_CREDIT_CARD
UCI_010982,300000.0,27,1,2,-2,-2,-2,-2,-2,-2,525.0,7792.0,8347.0,10471.0,9813.0,10690.0,7797.0,8361.0,10490.0,9828.0,10698.0,6666.0,0,UCI_CREDIT_CARD
SYN_CLI_017314,101526.0,60,4,2,1,0,4,-1,-1,0,52200.0,38700.0,36300.0,42300.0,53700.0,21600.0,29800.0,16600.0,11300.0,25700.0,10000.0,3100.0,0,SYNTHETIC_CREDIT_RISK
UCI_027071,230000.0,44,1,2,0,0,0,0,0,0,25949.0,27214.0,28472.0,29696.0,31393.0,33222.0,2000.0,2000.0,2000.0,2500.0,2500.0,3000.0,0,UCI_CREDIT_CARD
UCI_006686,280000.0,29,2,2,0,0,0,0,0,0,140888.0,143746.0,55506.0,56741.0,57983.0,59185.0,5040.0,3000.0,2000.0,2000.0,2000.0,3000.0,0,UCI_CREDIT_CARD
SYN_CLI_024961,243407.0,62,3,2,2,4,0,-2,3,3,63500.0,128300.0,10600.0,31100.0,95500.0,219300.0,14700.0,6800.0,6700.0,17800.0,40400.0,85500.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_028126,379355.0,24,2,2,4,-2,-2,-1,4,2,101200.0,209500.0,164300.0,219200.0,193500.0,161500.0,44300.0,39600.0,51900.0,54800.0,104100.0,92400.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_010701,243475.0,41,4,3,1,-1,1,-1,3,3,116900.0,117200.0,81900.0,155300.0,206700.0,8900.0,61600.0,74600.0,33900.0,19500.0,44600.0,4800.0,1,SYNTHETIC_CREDIT_RISK
UCI_013903,180000.0,43,3,1,1,-1,-1,-1,-1,-1,0.0,2602.0,498.0,498.0,1835.0,11337.0,2602.0,498.0,498.0,1835.0,10000.0,380.0,1,UCI_CREDIT_CARD
SYN_CLI_001540,313873.0,60,1,2,4,-1,1,3,4,1,62400.0,54400.0,88000.0,127500.0,168100.0,85700.0,3600.0,20400.0,2000.0,28800.0,12600.0,49900.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_019717,181493.0,31,4,1,-2,2,-2,0,4,-1,8100.0,28600.0,30700.0,51700.0,162000.0,80900.0,2900.0,4100.0,17600.0,29600.0,29600.0,33000.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_019520,129896.0,58,1,3,1,-2,0,2,-1,2,10200.0,91800.0,71500.0,31000.0,51400.0,85800.0,2800.0,53400.0,16900.0,7500.0,1900.0,45600.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_021924,101889.0,67,4,2,2,-2,3,-2,-2,2,48100.0,49900.0,89500.0,9100.0,16100.0,29700.0,22200.0,30300.0,11600.0,0.0,0.0,4600.0,1,SYNTHETIC_CREDIT_RISK
UCI_003503,360000.0,30,2,2,0,0,0,0,0,0,132250.0,132655.0,135959.0,139796.0,143642.0,147418.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0,UCI_CREDIT_CARD
SYN_CLI_009337,201946.0,57,4,2,1,2,-1,1,-1,-1,146000.0,75500.0,45800.0,77100.0,79400.0,11900.0,47100.0,18600.0,22500.0,7200.0,29200.0,6600.0,0,SYNTHETIC_CREDIT_RISK
UCI_002219,50000.0,58,2,2,4,3,2,2,2,2,51996.0,51203.0,50071.0,8086.0,8263.0,9533.0,300.0,300.0,300.0,293.0,1400.0,400.0,1,UCI_CREDIT_CARD
UCI_018506,310000.0,27,2,2,0,0,0,0,0,0,60692.0,63668.0,68612.0,73441.0,123966.0,127957.0,4000.0,6000.0,6000.0,52000.0,6000.0,5500.0,0,UCI_CREDIT_CARD
UCI_010690,50000.0,27,1,2,-1,-1,-1,-1,-1,-1,451.0,-49.0,6258.0,1032.0,2766.0,1401.0,0.0,6307.0,1035.0,3164.0,1405.0,1507.0,0,UCI_CREDIT_CARD
UCI_021378,200000.0,54,1,1,-1,-1,-1,-1,-1,-1,22413.0,890.0,1649.0,2121.0,0.0,51110.0,890.0,1649.0,2121.0,0.0,51110.0,1053.0,0,UCI_CREDIT_CARD
UCI_001867,280000.0,29,1,2,-2,-2,-2,-2,-2,-2,0.0,0.0,320.0,2139.0,0.0,0.0,0.0,320.0,2139.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_020193,320000.0,30,1,2,-1,-1,-1,-1,-1,-2,9646.0,13438.0,14833.0,1920.0,10516.0,10350.0,13442.0,14838.0,1920.0,10516.0,10350.0,43982.0,0,UCI_CREDIT_CARD
UCI_028871,30000.0,39,3,1,0,0,0,0,0,0,30238.0,30166.0,29745.0,27468.0,27436.0,27613.0,2000.0,1635.0,1438.0,796.0,5000.0,1000.0,1,UCI_CREDIT_CARD
SYN_CLI_022204,56265.0,69,4,1,4,1,0,1,4,1,22600.0,28300.0,11800.0,10900.0,40400.0,22000.0,6400.0,400.0,7300.0,4300.0,4300.0,8800.0,1,SYNTHETIC_CREDIT_RISK
UCI_003868,450000.0,31,1,2,2,-1,0,0,0,0,1638.0,54490.0,112841.0,112603.0,90202.0,39564.0,54490.0,62841.0,2000.0,0.0,1000.0,27224.0,0,UCI_CREDIT_CARD
UCI_003223,200000.0,33,2,2,1,2,2,2,0,0,98990.0,96566.0,103019.0,100464.0,102844.0,105505.0,0.0,9000.0,0.0,4000.0,4500.0,4000.0,0,UCI_CREDIT_CARD
UCI_021786,90000.0,25,2,2,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_020985,360000.0,33,2,1,-1,-1,-1,-1,0,0,15299.0,44439.0,22637.0,101497.0,68960.0,28399.0,44730.0,22751.0,101691.0,2233.0,6138.0,16113.0,0,UCI_CREDIT_CARD
SYN_CLI_018540,437517.0,51,3,1,-1,-2,-2,-1,0,4,223100.0,38600.0,151400.0,248000.0,104400.0,120000.0,116800.0,19600.0,55000.0,38000.0,72500.0,80600.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_010695,378175.0,29,1,3,1,1,0,-2,1,2,87900.0,120400.0,50900.0,209600.0,52400.0,170000.0,54000.0,30500.0,24300.0,14200.0,12600.0,15200.0,0,SYNTHETIC_CREDIT_RISK
UCI_008441,80000.0,27,1,2,1,-2,-2,-1,0,0,0.0,0.0,0.0,8956.0,8956.0,0.0,0.0,0.0,8956.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_009952,280000.0,24,2,2,-1,-1,-1,-1,-1,-2,1481.0,11884.0,-27.0,5443.0,-13.0,-13.0,11943.0,0.0,5470.0,0.0,0.0,0.0,1,UCI_CREDIT_CARD
UCI_001335,300000.0,29,3,2,-2,-2,-2,-2,-2,-2,-140.0,28092.0,3572.0,195.0,209.0,990.0,28232.0,3589.0,195.0,210.0,994.0,0.0,1,UCI_CREDIT_CARD
SYN_CLI_002573,367945.0,65,3,1,1,1,3,2,3,3,174900.0,285200.0,184500.0,201400.0,30300.0,82000.0,58400.0,153500.0,44000.0,86900.0,5700.0,32400.0,1,SYNTHETIC_CREDIT_RISK
UCI_028345,50000.0,40,3,1,0,0,2,2,-2,-2,48747.0,53239.0,51400.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_016504,77811.0,74,2,3,1,-2,0,1,-1,1,63300.0,20800.0,21000.0,31800.0,21500.0,46600.0,12900.0,13300.0,9500.0,8600.0,11800.0,25100.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_004483,419494.0,32,4,3,2,2,-1,4,-2,4,263800.0,21900.0,134400.0,121500.0,88400.0,324800.0,149800.0,10500.0,61800.0,6300.0,7900.0,159400.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_006272,382900.0,30,1,2,-2,-1,-2,4,1,-2,211600.0,206400.0,31300.0,10100.0,80400.0,219200.0,110100.0,141000.0,3900.0,5900.0,32100.0,24200.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_006875,227228.0,67,2,3,-2,2,4,0,-1,3,42400.0,32500.0,108000.0,83600.0,41200.0,77000.0,15600.0,4200.0,3400.0,16500.0,4200.0,22600.0,1,SYNTHETIC_CREDIT_RISK
UCI_011513,240000.0,32,2,1,-1,-1,-1,-1,-1,-1,4101.0,7101.0,5500.0,5500.0,5500.0,5463.0,8500.0,5500.0,5500.0,5500.0,5463.0,5500.0,0,UCI_CREDIT_CARD
UCI_023848,230000.0,53,1,2,-2,-2,-2,-2,-2,-2,0.0,742.0,0.0,0.0,596.0,4870.0,742.0,0.0,0.0,596.0,4870.0,0.0,0,UCI_CREDIT_CARD
UCI_009938,70000.0,29,2,2,0,0,2,-1,0,0,4059.0,5791.0,208.0,4170.0,4563.0,5331.0,2000.0,0.0,4170.0,1000.0,1000.0,1000.0,0,UCI_CREDIT_CARD
SYN_CLI_022123,139697.0,67,3,3,3,-1,4,0,-2,4,61000.0,83000.0,77800.0,73100.0,51000.0,81600.0,40000.0,9300.0,28600.0,39200.0,7800.0,48500.0,1,SYNTHETIC_CREDIT_RISK
UCI_009190,20000.0,35,3,1,0,0,2,2,0,0,15791.0,18218.0,18621.0,18024.0,18434.0,19826.0,3000.0,1000.0,0.0,700.0,1700.0,0.0,1,UCI_CREDIT_CARD
SYN_CLI_025991,217399.0,32,3,2,3,-2,3,4,-1,0,118700.0,25500.0,40100.0,66700.0,122000.0,43600.0,40500.0,3800.0,23300.0,6600.0,82300.0,26400.0,0,SYNTHETIC_CREDIT_RISK
UCI_011745,220000.0,51,1,2,-1,-1,-1,-1,-1,-1,20730.0,-270.0,53895.0,-105.0,20895.0,20835.0,0.0,54165.0,0.0,21000.0,20940.0,33460.0,1,UCI_CREDIT_CARD
SYN_CLI_004546,379739.0,45,4,2,1,3,-2,4,-2,-1,19200.0,128700.0,203800.0,119000.0,200100.0,193700.0,1100.0,70400.0,18500.0,13700.0,42400.0,28200.0,0,SYNTHETIC_CREDIT_RISK
UCI_013153,180000.0,39,1,1,0,0,0,0,-2,-2,43507.0,44282.0,23946.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0,UCI_CREDIT_CARD
UCI_013060,50000.0,57,2,1,4,3,2,0,0,0,51187.0,50106.0,48608.0,19600.0,20000.0,0.0,0.0,0.0,392.0,400.0,0.0,0.0,0,UCI_CREDIT_CARD
SYN_CLI_019859,236755.0,32,4,2,3,-2,0,4,1,3,119500.0,62300.0,29400.0,93900.0,130200.0,124300.0,26700.0,40800.0,5600.0,56600.0,76000.0,80200.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_022311,16612.0,47,1,1,1,0,3,1,4,-1,7600.0,7300.0,2000.0,8400.0,13400.0,5500.0,2200.0,4900.0,100.0,5200.0,3500.0,2700.0,1,SYNTHETIC_CREDIT_RISK
UCI_008915,330000.0,28,2,2,0,0,0,0,0,0,53260.0,37207.0,40560.0,41978.0,46728.0,40502.0,2000.0,4000.0,2000.0,5039.0,2164.0,2000.0,0,UCI_CREDIT_CARD
SYN_CLI_012179,26880.0,71,2,3,3,1,1,0,0,0,20800.0,15200.0,9400.0,16200.0,11600.0,5100.0,11700.0,10400.0,1200.0,11100.0,6600.0,700.0,1,SYNTHETIC_CREDIT_RISK
UCI_009200,190000.0,32,1,2,0,0,0,0,0,0,161248.0,157952.0,157663.0,161039.0,161907.0,161729.0,6500.0,7000.0,10000.0,7000.0,6500.0,6000.0,0,UCI_CREDIT_CARD
SYN_CLI_007941,318246.0,67,1,3,0,-1,4,2,-2,3,57200.0,43700.0,79500.0,178200.0,76600.0,107100.0,32000.0,25400.0,33300.0,13900.0,20600.0,71300.0,0,SYNTHETIC_CREDIT_RISK
SYN_CLI_024185,306762.0,49,3,3,2,1,3,4,-2,4,50000.0,110200.0,5700.0,99900.0,205800.0,64000.0,31500.0,34500.0,2800.0,3500.0,132700.0,29200.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_018597,73986.0,42,4,1,0,2,2,0,2,2,19400.0,43200.0,38300.0,26800.0,14300.0,11800.0,4200.0,700.0,14900.0,15900.0,2600.0,600.0,1,SYNTHETIC_CREDIT_RISK
SYN_CLI_028586,303250.0,70,4,1,-2,4,2,1,1,1,151000.0,115800.0,15900.0,61200.0,66300.0,24000.0,3000.0,41500.0,800.0,26600.0,43900.0,12400.0,0,SYNTHETIC_CREDIT_RISK
UCI_008064,360000.0,41,3,2,2,-1,0,0,0,0,218.0,7022.0,9744.0,89215.0,98256.0,99145.0,7022.0,3001.0,80000.0,10500.0,5000.0,10000.0,0,UCI_CREDIT_CARD
UCI_021053,70000.0,37,2,1,2,2,2,2,2,2,60514.0,61923.0,62740.0,63090.0,64470.0,65828.0,3000.0,2400.0,2000.0,3000.0,2508.0,0.0,1,UCI_CREDIT_CARD
SYN_CLI_000488,270077.0,73,4,2,0,-1,-2,0,1,2,184700.0,192400.0,46300.0,217400.0,202800.0,182900.0,73500.0,70900.0,22800.0,16200.0,108200.0,23600.0,0,SYNTHETIC_CREDIT_RISK
UCI_007529,240000.0,26,1,2,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,UCI_CREDIT_CARD
UCI_009936,50000.0,38,3,1,0,0,0,0,0,0,10825.0,11377.0,10760.0,10973.0,10693.0,9888.0,1500.0,1155.0,368.0,372.0,356.0,500.0,0,UCI_CREDIT_CARD
